,threshold,label,precision,recall,f1
0,0.0,0.0,0.9285714285714286,0.9176470588235294,0.923076923076923
1,0.0,1.0,0.9291338582677166,0.959349593495935,0.9440000000000001
2,0.0,2.0,0.8953488372093024,0.7623762376237624,0.823529411764706
3,0.0,3.0,0.8631578947368421,0.8367346938775511,0.8497409326424872
4,0.0,4.0,0.8888888888888888,0.7920792079207921,0.8376963350785341
5,0.0,5.0,0.7865168539325843,0.660377358490566,0.717948717948718
6,0.0,6.0,0.9051724137931034,0.9545454545454546,0.9292035398230089
7,0.0,7.0,0.8653846153846154,0.9183673469387755,0.8910891089108911
8,0.0,8.0,0.5602836879432624,0.8404255319148937,0.672340425531915
9,0.0,9.0,0.8382352941176471,0.6785714285714286,0.7500000000000001
10,1.0,0.0,0.9176470588235294,0.9176470588235294,0.9176470588235294
11,1.0,1.0,0.9307692307692308,0.983739837398374,0.9565217391304349
12,1.0,2.0,0.82,0.8118811881188119,0.8159203980099502
13,1.0,3.0,0.8315789473684211,0.8061224489795918,0.8186528497409326
14,1.0,4.0,0.8415841584158416,0.8415841584158416,0.8415841584158416
15,1.0,5.0,0.8021978021978022,0.6886792452830188,0.7411167512690355
16,1.0,6.0,0.8947368421052632,0.9272727272727272,0.9107142857142856
17,1.0,7.0,0.8543689320388349,0.8979591836734694,0.8756218905472637
18,1.0,8.0,0.7291666666666666,0.7446808510638298,0.7368421052631579
19,1.0,9.0,0.8235294117647058,0.8333333333333334,0.8284023668639053
20,2.0,0.0,0.9411764705882353,0.9411764705882353,0.9411764705882353
21,2.0,1.0,0.937984496124031,0.983739837398374,0.9603174603174603
22,2.0,2.0,0.8850574712643678,0.7623762376237624,0.8191489361702128
23,2.0,3.0,0.9090909090909091,0.8163265306122449,0.8602150537634408
24,2.0,4.0,0.8645833333333334,0.8217821782178217,0.8426395939086294
25,2.0,5.0,0.6896551724137931,0.7547169811320755,0.7207207207207208
26,2.0,6.0,0.875,0.9545454545454546,0.9130434782608695
27,2.0,7.0,0.8640776699029126,0.9081632653061225,0.8855721393034826
28,2.0,8.0,0.7023809523809523,0.6276595744680851,0.6629213483146067
29,2.0,9.0,0.7608695652173914,0.8333333333333334,0.7954545454545455
30,3.0,0.0,0.9090909090909091,0.9411764705882353,0.9248554913294799
31,3.0,1.0,0.937007874015748,0.967479674796748,0.9520000000000001
32,3.0,2.0,0.803921568627451,0.8118811881188119,0.8078817733990149
33,3.0,3.0,0.7586206896551724,0.8979591836734694,0.822429906542056
34,3.0,4.0,0.8829787234042553,0.8217821782178217,0.8512820512820514
35,3.0,5.0,0.8271604938271605,0.6320754716981132,0.716577540106952
36,3.0,6.0,0.896551724137931,0.9454545454545454,0.920353982300885
37,3.0,7.0,0.8543689320388349,0.8979591836734694,0.8756218905472637
38,3.0,8.0,0.7362637362637363,0.7127659574468085,0.7243243243243244
39,3.0,9.0,0.8170731707317073,0.7976190476190477,0.8072289156626505
40,4.0,0.0,0.9518072289156626,0.9294117647058824,0.9404761904761904
41,4.0,1.0,0.9444444444444444,0.967479674796748,0.9558232931726908
42,4.0,2.0,0.9135802469135802,0.7326732673267327,0.8131868131868133
43,4.0,3.0,0.8350515463917526,0.826530612244898,0.8307692307692307
44,4.0,4.0,0.8777777777777778,0.7821782178217822,0.8272251308900525
45,4.0,5.0,0.639344262295082,0.7358490566037735,0.6842105263157895
46,4.0,6.0,0.9026548672566371,0.9272727272727272,0.9147982062780269
47,4.0,7.0,0.8653846153846154,0.9183673469387755,0.8910891089108911
48,4.0,8.0,0.723404255319149,0.723404255319149,0.723404255319149
49,4.0,9.0,0.7777777777777778,0.8333333333333334,0.8045977011494253
50,5.0,0.0,0.9285714285714286,0.9176470588235294,0.923076923076923
51,5.0,1.0,0.9453125,0.983739837398374,0.9641434262948206
52,5.0,2.0,0.8351648351648352,0.7524752475247525,0.7916666666666667
53,5.0,3.0,0.8709677419354839,0.826530612244898,0.8481675392670157
54,5.0,4.0,0.8829787234042553,0.8217821782178217,0.8512820512820514
55,5.0,5.0,0.7926829268292683,0.6132075471698113,0.6914893617021276
56,5.0,6.0,0.8983050847457628,0.9636363636363636,0.9298245614035089
57,5.0,7.0,0.8490566037735849,0.9183673469387755,0.8823529411764707
58,5.0,8.0,0.6206896551724138,0.7659574468085106,0.6857142857142856
59,5.0,9.0,0.7727272727272727,0.8095238095238095,0.7906976744186046
60,6.0,0.0,0.9404761904761905,0.9294117647058824,0.9349112426035503
61,6.0,1.0,0.9236641221374046,0.983739837398374,0.952755905511811
62,6.0,2.0,0.9117647058823529,0.6138613861386139,0.7337278106508875
