,threshold,label,precision (count),recall (count),f1 (count),precision (sum),recall (sum),f1 (sum)
0,0.0,0.0,0.3937007874015748,0.5882352941176471,0.4716981132075472,0.5961538461538461,0.7294117647058823,0.656084656084656
1,0.0,1.0,0.8269230769230769,0.34959349593495936,0.4914285714285714,0.7128712871287128,0.5853658536585366,0.6428571428571429
2,0.0,2.0,0.5967741935483871,0.7326732673267327,0.6577777777777778,0.6981132075471698,0.7326732673267327,0.714975845410628
3,0.0,3.0,0.5233644859813084,0.5714285714285714,0.5463414634146342,0.5035460992907801,0.7244897959183674,0.5941422594142259
4,0.0,4.0,0.6935483870967742,0.42574257425742573,0.5276073619631902,0.7747747747747747,0.8514851485148515,0.8113207547169811
5,0.0,5.0,0.6,0.02830188679245283,0.05405405405405406,0.3333333333333333,0.018867924528301886,0.03571428571428571
6,0.0,6.0,0.9294117647058824,0.7181818181818181,0.8102564102564103,0.8048780487804879,0.9,0.8497854077253219
7,0.0,7.0,0.3588709677419355,0.9081632653061225,0.5144508670520231,0.7924528301886793,0.8571428571428571,0.8235294117647058
8,0.0,8.0,0.35714285714285715,0.05319148936170213,0.09259259259259259,0.42105263157894735,0.425531914893617,0.4232804232804233
9,0.0,9.0,0.42613636363636365,0.8928571428571429,0.576923076923077,0.6261682242990654,0.7976190476190477,0.7015706806282722
10,1.0,0.0,0.13166144200626959,0.9882352941176471,0.23236514522821575,0.5961538461538461,0.7294117647058823,0.656084656084656
11,1.0,1.0,0.0,0.0,0.0,0.7128712871287128,0.5853658536585366,0.6428571428571429
12,1.0,2.0,0.7435897435897436,0.5742574257425742,0.64804469273743,0.6981132075471698,0.7326732673267327,0.714975845410628
13,1.0,3.0,0.47368421052631576,0.09183673469387756,0.15384615384615385,0.5035460992907801,0.7244897959183674,0.5941422594142259
14,1.0,4.0,0.7714285714285715,0.26732673267326734,0.39705882352941174,0.7747747747747747,0.8514851485148515,0.8113207547169811
15,1.0,5.0,0.0,0.0,0.0,0.3333333333333333,0.018867924528301886,0.03571428571428571
16,1.0,6.0,0.9014084507042254,0.5818181818181818,0.7071823204419889,0.8048780487804879,0.9,0.8497854077253219
17,1.0,7.0,0.6422764227642277,0.8061224489795918,0.7149321266968327,0.7924528301886793,0.8571428571428571,0.8235294117647058
18,1.0,8.0,0.125,0.010638297872340425,0.0196078431372549,0.42105263157894735,0.425531914893617,0.4232804232804233
19,1.0,9.0,0.6,0.14285714285714285,0.23076923076923073,0.6261682242990654,0.7976190476190477,0.7015706806282722
20,2.0,0.0,0.0,0.0,0.0,0.5961538461538461,0.7294117647058823,0.656084656084656
